match id,entity,subj,count,positive,negative,neutral,positive_
473590,Zerrouki,Ramiz Zerrouki,5,1.2,4,1,0
473560,Mail,Marin Sverko,5,1.2,4,1,0
473619,Inigo Crdoba,Inigo Cordoba,5,1.6,4,1,0
473579,Gullit,Maxim Gullit,5,1.0,5,0,0
473590,Twente Insite,FC Twente,5,2.6,2,3,0
473560,MijnVitesse,Vitesse,5,1.8,4,0,1
473560,Mike,Mike te Wierik,5,1.8,3,2,0
473272,Waalwijk fanaat,RKC Waalwijk,5,2.4,2,2,1
473560,Nederlandse,Enrico Hernandez,5,1.4,4,1,0
473612,NEC Nijmegen   ,NEC Nijmegen,5,1.2,4,1,0
473560,GroningerHavens,FC Groningen,5,2.6,3,0,2
473560,Hoekstra,Jan Hoekstra,5,1.8,4,0,1
473560,Romy,Romano Postema,5,2.4,2,3,0
473560,Buitink,Thomas Buitink,5,2.2,3,1,1
473590,Belgian,Kilian Ludewig,5,2.0,3,1,1
473590,Van Wolfswinkel,Ricky van Wolfswinkel,5,1.4,4,1,0
473272,Michiel Kramer,Michiel Kramer,5,1.8,3,2,0
473579,Breij,Michael Breij,5,1.0,5,0,0
473590,Fc Twente,FC Twente,5,3.8,1,1,3
473579,Vindahl,Peter Vindahl Jensen,5,1.4,4,1,0
473579,00 uur,Cambuur,5,2.6,2,2,1
473582,Tahiri,Anas Tahiri,4,2.5,1,3,0
473582,Zwollenaren,PEC Zwolle,4,4.25,0,3,1
473621,only,Antony,4,4.0,1,0,3
473619,Ragnar Oratmangoen,Ragnar Oratmangoen,4,1.5,3,1,0
473612,feyenoord,Feyenoord,4,4.0,1,0,3
473621,Patrick,Erick Gutierrez,4,2.0,3,0,1
473619,Luca de la Torre,Luca de la Torre,4,3.0,2,0,2
473590,Daan Rots,Daan Rots,4,2.0,3,0,1
473619,Bas Kuipers,Bas Kuipers,4,2.0,3,0,1
473579,Doodeman,Nick Doodeman,4,2.5,2,1,1
473272,Tekie,Tesfaldet Tekie,4,3.5,0,3,1
473621,Rita,Ritsu Doan,4,2.0,3,0,1
473272,Johansson,Ryan Johansson,4,2.5,2,1,1
473560,fc groningen,FC Groningen,4,2.75,2,1,1
473560,Vitesse,Vitesse,4,1.75,2,2,0
473582,sc heerenveen,SC Heerenveen,4,3.0,1,2,1
473560,Daniel van Kaam,Daniel van Kaam,4,3.5,1,1,2
473638,Sparta Marsch,Sparta Rotterdam,4,3.0,1,2,1
473638,Radio,Achraf Madi,4,3.5,1,1,2
473621,Schmidt,Roger Schmidt,4,2.0,3,0,1
473612,Feyenoord fans,Feyenoord,4,4.25,0,2,2
473619,Kees van Wonderen,Kees van Wonderen,4,3.75,1,1,2
473560,Danny Buijs,Danny Buijs,4,2.0,3,0,1
473612,Nymegen,NEC Nijmegen,4,4.5,0,1,3
473638,Jaime,Rijk Janse,4,3.0,2,0,2
473621,Karpervissen,Davy Klaassen,4,2.0,3,0,1
473590,Radio,Ringo Meerveld,4,1.0,4,0,0
473621,Karin,Lisandro Martinez,4,2.0,3,0,1
473638,Fraser,Henk Fraser,4,2.0,3,0,1
473638,Hein Meurs,Finn Murre,4,1.5,3,1,0
473638,Henk Fraser,Henk Fraser,4,2.0,3,0,1
473619,Blaswich,Janis Blaswich,4,1.5,3,1,0
473272,Finn Stokkers,Finn Stokkers,4,1.5,3,1,0
473612,Louvain,Bart van Rooij,4,4.5,0,1,3
473582,Oranje,Gervane Kastaneer,4,3.0,2,0,2
473582,Kaib,Rami Kaib,4,2.5,1,3,0
473272,Duarte,Deroy Duarte,4,3.0,1,2,1
473560,Alois Oroz,Dominik Oroz,4,5.0,0,0,4
473582,HomeSCPECZwolle,PEC Zwolle,4,3.25,1,2,1
473590,Week van Twenterand,FC Twente,4,1.5,3,1,0
473272,Belgian,Ben Rienstra,4,1.5,3,1,0
473621,Bryan,Bruma,4,2.0,3,0,1
473272,Azhil,Ayman Azhil,4,1.5,3,1,0
473582,Nederland,Henk Veerman,4,4.0,1,0,3
473582,Sc Heerenveen,SC Heerenveen,4,2.0,3,0,1
473272,Geel voor Pinto,Ivo Pinto,4,2.0,2,2,0
473590,Niks,Nikolaos Michelis,4,1.0,4,0,0
473619,GA Eagles,Go Ahead Eagles,4,4.75,0,1,3
473638,Moussa,Moussa Sylla,4,4.0,1,0,3
473582,PECfan,PEC Zwolle,4,3.0,2,0,2
473621,Mason,Mauro Junior,4,2.0,3,0,1
473582,Siem de Jong,Siem de Jong,3,3.3333333333333335,1,1,1
473619,Martina,Cuco Martina,3,2.3333333333333335,1,2,0
473272,Brussel,Iiass Bel Hassani,3,1.0,3,0,0
473619,Wormuth,Frank Wormuth,3,1.6666666666666667,2,1,0
473579,Schmidt,Doke Schmidt,3,1.0,3,0,0
473612,drie,Cyriel Dessers,3,3.6666666666666665,0,2,1
473612,Marcel,Marcos Senesi,3,4.333333333333333,0,1,2
473272,Nijmegen,Nigel Lonwijk,3,1.0,3,0,0
473621,Nederland,Joey Veerman,3,3.3333333333333335,1,1,1
473621,Calimeros,Charlie Setford,3,1.0,3,0,0
473612,Hillie Grissen,Bryan Linssen,3,4.333333333333333,0,1,2
